link,location,tags,title
https://twitter.com/MichelleLhooq/status/1695952716915450301,nevada,police violence,
https://www.youtube.com/watch?v=1Fpivi5ljhI&t=435s,,police violence,"George Floyd: Police bodycam video played in court, showing full encounter with Derek Chauvin"
